"PInumber","ISnum","LIB","Sample","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion Missing","Proportion Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Continent"
"PI276823","IS12652","SRR8474744","SRR8474744",NA,"SA 2341; PI 276823","TERRA_new",NA,"remove",0.874783968697767,0.0107756558806021,0.126667,NA,"Landrace",NA,"Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276830","IS12658","SRR8474673","SRR8474673",NA,"SA 2348; PI 276830","TERRA_new",NA,NA,0.387030287988586,0.0172224660137076,1.034708,11,"Landrace",NA,"Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276837","IS12661","INLJ","PI276837_IS_12661",NA,"IS12661","GatesRef","keep",NA,0.0919065508546899,0.0149276333354333,1.183951,14,"Landrace","Durra-caudatum","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276837","IS12661","SAMEA12302531","PI276837",NA,"IS12661","SAP","remove",NA,0.203689742404085,0.0100842028746132,1.121674,14,"Landrace","Durra-caudatum","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276853","IS12672","SRR8474701","SRR8474701",NA,"Collubi Dwarf","TERRA_new",NA,"remove",0.572081086870768,0.0139698326578998,0.60968,NA,"Landrace","Durra","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI282842","IS20905","IZLC","PI282842",NA,"Kell","Gates",NA,NA,0.164197460853144,0.0220894742152386,1.045524,19,NA,"Caudatum","Chad",NA,8.88,17.549999,NA,"Africa"
"PI282857",NA,"SRR8474702","SRR8474702",NA,"Galang Oualema","TERRA_new",NA,"remove",0.894499162191073,0.0112369562360363,0.105893,NA,NA,"Guinea","Chad",NA,NA,NA,NA,"Africa"
"PI285039","IS12676","SRR8474699","SRR8474699",NA,"PI 285039","TERRA_new",NA,"remove",0.604284091058773,0.0138707389748032,0.473592,NA,"Landrace","Caudatum","Nigeria",NA,11.060004,7.71,NA,"Africa"
"PI285042","IS12678","SRR8474700","SRR8474700",NA,"PI 285042","TERRA_new",NA,"remove",0.723183549134703,0.0155695522344999,0.246243,NA,"Landrace","Caudatum","Nigeria",NA,11.060004,7.71,NA,"Africa"
"PI285043","IS12679","SRR8474695","SRR8474695",NA,"KO 25; PI 285043; EC 492014","TERRA_new",NA,"remove",0.918815628654798,0.0112572823758307,0.086295,NA,"Landrace","Guinea-caudatum","Nigeria",NA,NA,NA,NA,"Africa"
"PI287583",NA,"INWW","PI287583",NA,"Feterita Wad Umm Benein","Gates",NA,NA,0.0999246977197871,0.0167270484591921,1.132346,5,NA,"Caudatum","Zimbabwe",NA,NA,NA,NA,"Africa"
"PI291231",NA,"SRR8474696","SRR8474696",NA,"N-12","TERRA_new",NA,"remove",0.938950440672937,0.015858985213906,0.023825,NA,NA,"Durra","Jamaica,India",NA,NA,NA,NA,NA
"PI291239","IS1598","SRR8474704","SRR8474704",NA,"K 3","TERRA_new",NA,"remove",0.737737174105499,0.0135596499937352,0.346134,NA,"Landrace",NA,"India,Jamaica",NA,NA,NA,NA,NA
"PI291240",NA,"SRR8474705","SRR8474705",NA,"K-2 Cholam","TERRA_new",NA,"remove",0.889619640986569,0.011140666585939,0.069414,NA,NA,"Durra","Jamaica,India",NA,NA,NA,NA,NA
"PI291246","IS2253","INLK","PI291246_IS_2253",NA,"IS2253","BAP",NA,NA,0.124979656182905,0.0209540712762245,1.167734,2,"Breeding","Durra","Jamaica",NA,15.090001,77.040001,NA,"Americas"
"PI297117","IS13600","SRR8474736","SRR8474736",NA,"PI 297117; NSL 92176; E 31; EC 491808","TERRA_new",NA,"remove",0.752300865262161,0.0111505818339814,0.230719,NA,"Landrace","Guinea-caudatum","Uganda",NA,NA,NA,NA,"Africa"
"PI297130","IS13613","ISKX","PI297130",NA,"IS13613","BAP",NA,NA,0.0965884087731108,0.0164032601045502,1.035707,5,"Landrace","Caudatum","Uganda",NA,1.373333,32.290276,NA,"Africa"
"PI297155","IS13633","ISLD","PI297155",NA,"IS13633","BAP",NA,NA,0.0835734959821915,0.0132321139410197,1.155702,16,"Landrace","Kafir","Uganda",NA,1.373333,32.290276,NA,"Africa"
"PI299410","IS602","INWX","PI299410",NA,"IS602","Gates",NA,NA,0.298645266084926,0.0110172549730681,0.950776,16,"Landrace",NA,"South Africa",NA,NA,NA,NA,"Africa"
"PI300118",NA,"IFDN","PI300118",NA,"294","BAP",NA,NA,0.177785702549754,0.0373728795924282,1.75681,12,NA,NA,"South Africa",NA,-30.559483,22.937506,564,"Africa"
"PI300119",NA,"IFDP","PI300119",NA,"329","BAP",NA,NA,0.177243459578926,0.0393176996686619,1.780794,12,"Wild",NA,"South Africa",NA,-30.559483,22.937506,396,"Africa"
"PI300654",NA,"ISGE","PI300654",NA,"SK 5912","Gates",NA,NA,0.109952449057266,0.0210991649067023,1.260624,20,NA,NA,"Nigeria",NA,NA,NA,NA,"Africa"
"PI302221",NA,"IFGZ","PI302221",NA,"A-6129","BAP",NA,NA,0.132597263134397,0.0442388946796535,1.491488,3,NA,NA,"Soviet Union",NA,NA,NA,NA,"Europe"
"PI302231","IS14206","INWY","PI302231",NA,"IS14206","Gates",NA,NA,0.130800351900547,0.040133559674011,1.443153,3,"Landrace",NA,"Australia",NA,NA,NA,NA,"Oceania"
"PI302252","IS13726","IFJZ","PI302252",NA,"IS13726","BAP",NA,NA,0.138462577290213,0.0170778263458681,1.121428,16,"Landrace",NA,"China",NA,35.86166,104.195396,NA,"Asia"
"PI303658",NA,"INLL","PI303658_Nerum_Boer",NA,"Nerum Boer","BAP",NA,NA,0.0980425428072873,0.0156437442655105,1.010004,5,NA,NA,"Sudan",NA,12.862848,30.217677,NA,"Africa"
"PI308223","IS13791","INWZ","PI308223",NA,"IS13791","Gates",NA,NA,0.0850696140532829,0.0146436875852476,1.179353,16,"Landrace",NA,"South Africa","KwaZulu-Natal",-29.015021,29.871031,NA,"Africa"
"PI308262","IS13827","INXA","PI308262",NA,"IS13827","Gates",NA,NA,0.0787146617602099,0.0137993912006735,1.140136,16,"Landrace",NA,"South Africa","KwaZulu-Natal",-29.015021,29.871031,NA,"Africa"
"PI308282","IS13845","IXQI","PI308282",NA,"IS13845","Gates",NA,NA,0.0882948976500448,0.0151242678305581,1.147491,16,"Landrace",NA,"South Africa","KwaZulu-Natal",-29.015021,29.871031,NA,"Africa"
"PI308374","IS13926","INXC","PI308374",NA,"IS13926","Gates",NA,NA,0.370531837085853,0.00727880879612269,0.710127,16,"Landrace",NA,"South Africa","KwaZulu-Natal",-29.015021,29.871031,NA,"Africa"
"PI308445","IS13989","INXD","PI308445",NA,"IS13989","Gates",NA,NA,0.0801974691723058,0.0142896301272339,1.145105,16,"Landrace",NA,"South Africa","KwaZulu-Natal",-29.015021,29.871031,NA,"Africa"
"PI329256","IS11014","INLM","PI329256_IS_11014",NA,"IS11014","BAP",NA,NA,0.141588668746919,0.0192406829815105,1.145989,18,"Landrace","Durra","Eritrea",NA,15.319999,38.919998,NA,"Africa"
"PI329268","IS11026","INXE","PI329268",NA,"IS11026","Gates",NA,NA,0.125317469615994,0.0211494368609734,1.111735,18,"Landrace",NA,"Ethiopia",NA,8.541389,39.268889,1450,"Africa"
"PI329286","IS11044","INLN","PI329286_IS_11044",NA,"IS11044","BAP",NA,NA,0.140684126276558,0.0214452859260124,1.500584,11,"Landrace","Durra","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI329299","IS11057","INLP","PI329299_IS_11057",NA,"IS11057","BAP",NA,NA,0.133363208367968,0.0226196529503597,1.203035,18,"Landrace","Durra-caudatum","Ethiopia",NA,14.399999,39.380001,1600,"Africa"
"PI329300","IS11058","IFJE","PI329300",NA,"IS11058","BAP",NA,NA,0.13603981550872,0.0226400118964362,1.205042,18,"Landrace","Durra","Ethiopia",NA,14.399999,39.380001,1600,"Africa"
"PI329301","IS11059","IFJF","PI329301",NA,"IS11059","JGI_Ref",NA,NA,0.134279148090094,0.0227305829157276,1.206392,18,"Landrace",NA,"Ethiopia",NA,14.399999,39.380001,1600,"Africa"
"PI329310","IS11068","INLQ","PI329310_IS_11068",NA,"IS11068","BAP",NA,NA,0.13994596704364,0.0192550058862433,1.184397,18,"Landrace",NA,"Ethiopia",NA,9.300001,42.130001,NA,"Africa"
"PI329319","IS11077","INLR","PI329319_IS_11077",NA,"IS11077","BAP",NA,NA,0.136797940730131,0.0228606142145661,1.476462,11,"Landrace",NA,"Ethiopia",NA,9.180305,38.330001,2100,"Africa"
"PI329326","IS11083","INLS","PI329326_IS_11083",NA,"IS11083","BAP",NA,NA,0.13368130538742,0.0249814984347292,1.588799,11,"Landrace",NA,"Ethiopia",NA,9.130001,37.049999,2100,"Africa"
"PI329333","IS11090","IDUP","PI329333",NA,"IS11090","BAP",NA,NA,0.143999423204777,0.0136962208904445,0.988195,5,"Landrace","Caudatum","Ethiopia",NA,9.130001,37.049999,1600,"Africa"
"PI329338","IS11096","IDZX","PI329338",NA,"IS11096","BAP",NA,NA,0.231970760919073,0.0228173213376356,1.416363,12,"Landrace","Caudatum-bicolor","Ethiopia",NA,10,39.889999,1600,"Africa"
"PI329351","IS11108","INLT","PI329351_IS_11108",NA,"IS11108","BAP",NA,NA,0.147044735599704,0.0213791891119445,1.550541,11,"Landrace",NA,"Ethiopia",NA,10.300001,39.979999,1500,"Africa"
"PI329362",NA,"INXF","PI329362",NA,"Mashila","Gates",NA,NA,0.10687122561359,0.0200901922964491,1.221843,1,NA,NA,"Ethiopia",NA,9.5,38.2299995422363,1500,"Africa"
"PI329394","IS11151","INLU","PI329394_IS_11151",NA,"IS11151","BAP",NA,NA,0.129503505486834,0.0229505623173994,1.204236,18,"Landrace",NA,"Ethiopia",NA,11.183333,40.009998,NA,"Africa"
"PI329403","IS11160","IFJG","PI329403",NA,"IS11160","BAP",NA,NA,0.134310206294417,0.0226040677084166,1.219069,18,"Landrace",NA,"Ethiopia",NA,11.133333,39.633333,2100,"Africa"
"PI329435",NA,"IFGI","PI329435",NA,"Mashila","BAP","keep",NA,0.0623571097290518,0.00950446201413702,1.093216,14,NA,NA,"Eritrea",NA,15.31999969,38.91999817,NA,"Africa"
"PI329435",NA,"SAMEA12302555","PI329435",NA,"Mashila","SAP","remove",NA,0.152692198636628,0.00644139189859402,0.954617,14,NA,NA,"Eritrea",NA,15.31999969,38.91999817,NA,"Africa"
"PI329440",NA,"INLW","PI329440_Mashila",NA,"Mashila","BAP","keep",NA,0.0937787505034826,0.0158853220053074,1.152094,8,NA,NA,"Eritrea",NA,15.31999969,38.91999817,NA,"Africa"
"PI329440",NA,"SAMEA12302756","PI329440",NA,"Mashila","SAP","remove",NA,0.0968225377187333,0.0166301420065032,1.150885,8,NA,NA,"Eritrea",NA,15.31999969,38.91999817,NA,"Africa"
"PI329465","IS11222","INLX","PI329465_IS_11222",NA,"IS11222","BAP",NA,NA,0.138195920421671,0.0236559882285092,1.552508,11,"Landrace",NA,"Ethiopia",NA,14.159361,38.900742,2300,"Africa"
"PI329466","IS11223","IFJH","PI329466",NA,"IS11223","BAP",NA,NA,0.114407360239814,0.0504189613336121,0.999379,18,"Landrace",NA,"Ethiopia",NA,14.159361,38.900742,2300,"Africa"
"PI329471","IS11228","INLY","PI329471_IS_11228",NA,"IS11228","BAP",NA,NA,0.134302469473875,0.0250173296346362,1.625566,11,"Landrace","Durra-bicolor","Ethiopia",NA,8.594101,39.121411,1900,"Africa"
